Period,Total
2011-01-01,373493
2011-02-01,422541
2011-03-01,502960
2011-04-01,533934
2011-05-01,455628
2011-06-01,445556
2011-07-01,443210
2011-08-01,485817
2011-09-01,438527
2011-10-01,507439
2011-11-01,593701
2011-12-01,625246
2012-01-01,459579
2012-02-01,524931
2012-03-01,692922
2012-04-01,690815
2012-05-01,598823
2012-06-01,607405
2012-07-01,592365
2012-08-01,606802
2012-09-01,550527
2012-10-01,609924
2012-11-01,671085
2012-12-01,701847
2013-01-01,527010
2013-02-01,571753
2013-03-01,758895
2013-04-01,691332
2013-05-01,617855
2013-06-01,637417
2013-07-01,635093
2013-08-01,686562
2013-09-01,673967
2013-10-01,678910
2013-11-01,730934
2013-12-01,803857
2014-01-01,666865
2014-02-01,757982
2014-03-01,880191
2014-04-01,891637
2014-05-01,817621
2014-06-01,805780
2014-07-01,808535
2014-08-01,812315
2014-09-01,809423
2014-10-01,846482
2014-11-01,858830
2014-12-01,952184
2015-01-01,752179
2015-02-01,817009
2015-03-01,861317
2015-04-01,887768
2015-05-01,866196
2015-06-01,800051
2015-07-01,833085
2015-08-01,894027
2015-09-01,837125
2015-10-01,926729
2015-11-01,939292
2015-12-01,1022739
2016-01-01,865819
2016-02-01,920006
2016-03-01,1034498
2016-04-01,910171
2016-05-01,882255
2016-06-01,817603
2016-07-01,848487
2016-08-01,863314
2016-09-01,772066
2016-10-01,845678
2016-11-01,890952
2016-12-01,1036863
2017-01-01,824591
2017-02-01,787321
2017-03-01,926364
2017-04-01,926500
2017-05-01,821947
2017-06-01,835481
2017-07-01,832624
2017-08-01,908704
2017-09-01,819656
2017-10-01,926827
2017-11-01,1013258
2017-12-01,1111718
2018-01-01,871879
2018-02-01,850554
2018-03-01,1013359
2018-04-01,882633
2018-05-01,841886
2018-06-01,857111
2018-07-01,852806
2018-08-01,952798
2018-09-01,836149
2018-10-01,959122
2018-11-01,1018273
2018-12-01,1124231
2019-01-01,867107
2019-02-01,955482
2019-03-01,1078573
2019-04-01,1100427
2019-05-01,1038858
2019-06-01,931921
2019-07-01,987948
2019-08-01,1030131
2019-09-01,793575
2019-10-01,938113
2019-11-01,989336
2019-12-01,1142198
2020-01-01,812846
2020-02-01,357291
2020-03-01,78223
2020-04-01,2555
2020-05-01,3248
2020-06-01,7482
2020-07-01,11726
2020-08-01,18515
2020-09-01,23501
2020-10-01,18972
2020-11-01,21160
2020-12-01,21993
2021-01-01,14779
2021-02-01,12661
2021-03-01,18392
2021-04-01,17828
2021-05-01,10715
2021-06-01,2777
2021-07-01,5479
2021-08-01,7956
2021-09-01,12249
2021-10-01,14077
2021-11-01,13445
2021-12-01,9987
2022-01-01,7628
2022-02-01,11545
2022-03-01,20014
2022-04-01,29725
2022-05-01,32446
2022-06-01,38421
2022-07-01,49952
2022-08-01,69231
2022-09-01,68198
2022-10-01,92959
2022-11-01,172738
2022-12-01,301341
2023-01-01,253697
2023-02-01,368488
2023-03-01,485042
2023-04-01,551386
2023-05-01,514635
2023-06-01,507778
2023-07-01,541238
2023-08-01,588117
2023-09-01,536338
2023-10-01,618184
2023-11-01,685459
