"年別","月份","亞洲地區","非洲地區","美洲地區","大洋洲地區","歐洲地區","其他未列明","小計"
"Year","Month","Asia","Africa","Americas","Oceania","Europe","Unknow","Total"
"100","1","335643","754","38676","7056","15995","2493","400617"
"100","2","392397","755","35041","5421","17057","2797","453468"
"100","3","445301","673","43215","5671","20192","3163","518215"
"100","4","480332","777","41474","6722","18078","2775","550158"
"100","5","403035","700","40690","4638","17693","3715","470471"
"100","6","394361","617","44017","4810","15124","3711","462640"
"100","7","396342","769","43108","5328","17667","2442","465656"
"100","8","444989","876","37379","4089","16068","3497","506898"
"100","9","402802","705","33031","5546","15490","3420","460994"
"100","10","452361","881","45847","6357","21403","3581","530430"
"100","11","545816","679","43257","6302","21158","2131","619343"
"100","12","570831","752","49401","8600","16223","2787","648594"
"101","1","393696","646","40036","8125","14891","2670","460064"
"101","2","465474","734","33460","6125","16859","2588","525240"
"101","3","617585","685","43150","6403","22908","2454","693185"
"101","4","619324","783","41056","6647","18761","4515","691086"
"101","5","535590","565","41289","4567","15274","1813","599098"
"101","6","530788","821","48917","5545","18559","3148","607778"
"101","7","522977","735","42821","5254","17700","2962","592449"
"101","8","547088","697","37193","4053","16027","2064","607122"
"101","9","489992","882","34332","5937","16767","2991","550901"
"101","10","535571","735","42161","6540","20625","4710","610342"
"101","11","593166","818","45499","6521","22737","2876","671617"
"101","12","622433","764","47683","9697","16937","5074","702588"
"102","1","463566","574","36033","7567","15495","3861","527096"
"102","2","513221","690","34383","4992","14653","4217","572156"
"102","3","674083","807","45771","7061","23108","8403","759233"
"102","4","618140","779","40533","6461","18596","6992","691501"
"102","5","548541","535","40587","5010","15501","7769","617943"
"102","6","560105","802","45916","5686","18647","6421","637577"
"102","7","563990","653","40846","5065","18803","5875","635232"
"102","8","622338","723","37514","4284","17068","4757","686684"
"102","9","609266","983","35740","6691","18343","3049","674072"
"102","10","597948","719","45381","6688","21852","6440","679028"
"102","11","649932","699","47419","6760","22347","4273","731430"
"102","12","717656","831","52323","11457","18649","3412","804328"
"103","1","594946","600","43128","9661","18802","97","667234"
"103","2","692769","841","37495","6068","20934","72","758179"
"103","3","799901","911","48132","7024","24299","131","880398"
"103","4","804704","967","50935","10729","24432","108","891875"
"103","5","743670","664","46862","6383","19895","261","817735"
"103","6","726843","842","50903","6184","20361","830","805963"
"103","7","731632","669","46526","5953","20844","3077","808701"
"103","8","743222","1095","42020","5200","20792","187","812516"
"103","9","739683","1101","40239","7549","20877","113","809562"
"103","10","757389","773","52211","8821","27236","197","846627"
"103","11","772617","688","51869","7456","26161","216","859007"
"103","12","862810","809","55055","12091","20247","1395","952407"
"104","1","681757","531","39772","8509","18600","3102","752271"
"104","2","749797","850","41773","5883","18669","211","817183"
"104","3","768761","1019","54365","8172","28970","305","861592"
"104","4","795549","1004","53360","10454","27452","192","888011"
"104","5","791943","789","47832","5812","19885","119","866380"
"104","6","722097","766","50814","6111","20007","352","800147"
"104","7","757434","770","47581","5616","21659","179","833239"
"104","8","822736","1024","43444","5328","21617","109","894258"
"104","9","770089","900","39199","6653","20392","141","837374"
"104","10","836726","833","52751","7870","27433","1337","926950"
"104","11","847423","785","56338","7979","26789","169","939483"
"104","12","925247","889","60963","12426","22562","810","1022897"
"105","1","786403","747","47048","9589","21940","203","865930"
"105","2","846396","952","43661","6274","22083","789","920155"
"105","3","935746","823","57483","8965","29398","2315","1034730"
"105","4","819478","883","53608","8808","26541","1005","910323"
"105","5","794833","927","55295","7434","23670","406","882565"
"105","6","735320","732","54876","6481","20262","129","817800"
"105","7","764260","957","52426","6212","24852","162","848869"
"105","8","786145","1162","48248","5126","22717","142","863540"
"105","9","697685","889","43283","7146","22333","905","772241"
"105","10","741558","829","60203","10553","31584","1144","845871"
"105","11","786524","841","65267","8891","29497","137","891157"
"105","12","930445","926","67939","12747","24879","162","1037098"
"106","1","733219","754","55151","10616","24944","115","824799"
"106","2","712426","1053","44649","6716","22556","111","787511"
"106","3","819800","948","62695","8799","34291","114","926647"
"106","4","818705","929","63106","11727","32256","90","926813"
"106","5","731817","797","56972","7570","24887","124","822167"
"106","6","742777","690","61214","8128","22504","618","835931"
"106","7","741931","995","57884","6786","25403","105","833104"
"106","8","818599","1581","54482","5742","28884","93","909381"
"106","9","741433","1077","45809","7580","24120","84","820103"
"106","10","824530","1000","59805","9414","32447","101","927297"
"106","11","900841","850","69622","10057","32179","88","1013637"
"106","12","999557","1008","70660","15209","25619","158","1112211"
"107","1","779079","794","52968","12984","24587","1882","872294"
"107","2","769352","1011","49756","6767","23504","372","850762"
"107","3","894719","979","72935","10471","34420","131","1013655"
"107","4","776707","1086","62726","10486","31964","103","883072"
"107","5","753437","680","56527","7070","24455","72","842241"
"107","6","760658","889","61556","8167","25144","1164","857578"
"107","7","755724","1009","59263","8845","28415","96","853352"
"107","8","866234","1185","52637","6542","26530","124","953252"
"107","9","753335","1125","45937","8801","27233","163","836594"
"107","10","843792","980","65871","11719","37258","154","959774"
"107","11","893746","1131","75647","11075","37186","236","1019021"
"107","12","998967","1168","76655","18770","29398","154","1125112"
"108","1","768758","833","57371","14196","26382","171","867711"
"108","2","869039","1135","51172","7887","26767","202","956202"
"108","3","957661","1026","72800","9520","38347","144","1079498"
"108","4","976547","1041","67997","16646","38992","170","1101393"
"108","5","936715","895","63049","9071","29877","151","1039758"
"108","6","836481","821","63539","8162","23502","192","932697"
"108","7","886770","1098","60699","9296","30765","137","988765"
"108","8","937523","1259","55783","6901","29326","145","1030937"
"108","9","704612","1146","49565","9786","29100","206","794415"
"108","10","817610","1025","66684","11826","41837","149","939131"
"108","11","864737","1057","75546","10919","37965","173","990397"
"108","12","1005246","1201","82049","20650","33892","163","1143201"
"109","1","701467","861","62860","16551","29368","1863","812970"
"109","2","312578","862","24722","3911","15179","105","357357"
"109","3","63359","227","8127","1301","5225","20","78259"
"109","4","2094","1","232","19","211","2","2559"
"109","5","2424","9","381","25","374","37","3250"
"109","6","5826","28","675","59","710","193","7491"
"109","7","9301","35","1241","86","1056","29","11748"
"109","8","15266","64","1396","113","1592","105","18536"
"109","9","20115","81","1476","141","1673","34","23520"
"109","10","15525","116","1519","142","1648","32","18982"
"109","11","17456","100","1938","142","1478","63","21177"
"109","12","18576","118","1550","116","998","654","22012"
"110","1","10987","63","1833","106","1666","139","14794"
"110","2","10470","62","911","96","1115","20","12674"
"110","3","15406","83","1097","225","1572","23","18406"
"110","4","14626","116","1216","100","1730","55","17843"
"110","5","8286","45","1092","62","1201","33","10719"
"110","6","1570","28","515","57","540","69","2779"
"110","7","3064","32","1363","39","913","69","5480"
"110","8","4811","75","1257","136","1622","59","7960"
"110","9","8559","126","1371","146","1943","119","12264"
"110","10","10727","122","1440","105","1668","45","14107"
"110","11","10427","97","1247","133","1341","216","13461"
"110","12","7063","52","1300","153","1102","322","9992"
"111","1","4399","59","1305","128","1601","147","7639"
"111","2","7678","136","1266","114","1523","839","11556"
"111","3","16364","136","1436","173","1900","27","20036"
"111","4","25529","170","1546","204","2293","18","29760"
"111","5","27286","156","2169","232","2566","57","32466"
"111","6","30200","155","4182","242","2952","723","38454"
"111","7","38130","336","6129","440","4842","114","49991"
"111","8","52810","561","5865","501","6337","3225","69299"
"111","9","54929","391","6042","794","6065","97","68318"
"111","10","70267","469","12688","1660","7992","130","93206"
"111","11","130754","382","25143","3218","13185","455","173137"
"111","12","238446","459","41071","7214","14734","176","302100"
