,,,業務,,觀光,,探親,,會議,,求學,,展覽,,醫療,,其他,,
,,,Business,,Leisure,,Visit Relatives,,Conference,,Study,,Exhibition,,Medical Treatment,,Others,,
年別,月份,居住地,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,小計
Years,Months,Residence,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Total
100,1,亞洲地區(Asia),46453,9090,92413,107501,9770,20976,2568,1019,682,574,0,0,0,0,10195,13477,314718
100,1,日本(Japan),22827,1004,33170,35470,1933,2276,503,40,112,94,0,0,0,0,851,522,98802
100,1,韓國(Korea),4762,518,6328,7108,995,1311,228,47,196,115,0,0,0,0,793,483,22884
100,1,北韓(DPRK),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,1,香港(Hong Kong),4472,1406,10703,14248,1242,1013,375,218,47,53,0,0,0,0,2340,2692,38809
100,1,中國大陸(China),4598,1956,31560,37824,1805,11020,902,420,90,76,0,0,0,0,3022,3443,96716
100,1,澳門(Macao),46,12,426,524,85,66,7,14,6,10,0,0,0,0,177,194,1567
100,1,蒙古(Mongolia),12,4,0,4,14,17,2,4,4,5,0,0,0,0,5,20,91
100,1,越南(Vietnam),340,430,37,67,257,1396,7,9,24,33,0,0,0,0,282,401,3283
100,1,泰國(Thailand),1355,298,327,550,599,853,28,13,26,23,0,0,0,0,289,131,4492
100,1,馬來西亞(Malaysia),1579,352,4829,6247,982,908,154,97,54,59,0,0,0,0,282,234,15777
100,1,新加坡(Singapore),2996,782,3987,4246,739,625,171,71,28,23,0,0,0,0,236,168,14072
100,1,菲律賓(Philippines),1098,1307,369,577,277,609,35,46,13,21,0,0,0,0,789,1089,6230
100,1,汶萊(Brunei),3,0,28,23,12,16,0,0,0,0,0,0,0,0,2,2,86
100,1,印尼(Indonesia),447,721,447,484,279,449,26,15,30,41,0,0,0,0,688,3912,7539
100,1,柬埔寨(Cambodia),14,5,2,1,10,24,0,3,2,0,0,0,0,0,6,3,70
100,1,寮國(Laos),0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,3
100,1,帝汶(Timor),0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3
100,1,緬甸(Myanmar),18,4,7,9,20,41,0,0,3,2,0,0,0,0,24,13,141
100,1,索羅門群島(Solomon Islands),0,0,1,0,2,1,0,0,1,1,0,0,0,0,0,2,8
100,1,吐瓦魯(Tuvalu),0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
100,1,印度(India),1035,42,61,17,175,66,117,17,18,3,0,0,0,0,204,24,1779
100,1,巴基斯坦(Pakistan),50,2,2,0,24,0,0,0,1,0,0,0,0,0,2,0,81
100,1,斯里蘭卡(Sri Lanka),27,0,2,0,0,2,0,0,0,0,0,0,0,0,2,1,34
100,1,孟加拉(Bangladesh),39,1,1,1,15,0,0,0,0,0,0,0,0,0,2,0,59
100,1,尼泊爾(Nepal),6,0,3,1,23,6,3,0,3,1,0,0,0,0,33,4,83
100,1,不丹(Bhutan ),0,0,0,1,12,0,1,0,0,0,0,0,0,0,25,1,40
100,1,馬爾地夫(Maldives),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,1,塞席爾(Seychelles),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
100,1,吉里巴斯(Kiribati),0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,3
100,1,伊朗(Iran),54,4,0,5,5,0,0,0,1,0,0,0,0,0,2,0,71
100,1,伊拉克(Iraq),9,0,1,0,2,2,0,0,0,0,0,0,0,0,1,0,15
100,1,巴林(Bahrain),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,1,南葉門(South Yemen),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
100,1,沙烏地阿拉伯(Saudi Arabia),45,10,5,0,6,2,1,0,0,0,0,0,0,0,5,7,81
100,1,科威特(Kuwait),10,3,0,1,4,0,0,0,0,0,0,0,0,0,1,0,19
100,1,卡達(Qatar),2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
100,1,阿曼(Oman),5,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,11
100,1,以色列(Israel),240,15,23,10,25,8,6,2,4,0,0,0,0,0,3,0,336
100,1,約旦(Jordan),16,0,0,0,11,1,0,0,2,0,0,0,0,0,5,1,36
100,1,敘利亞(Syria),8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9
100,1,黎巴嫩(Lebanon),9,1,2,0,3,0,0,0,0,0,0,0,0,0,2,0,17
100,1,阿拉伯聯合大公國(UAE),31,1,2,4,3,1,0,0,0,0,0,0,0,0,3,0,45
100,1,葉門(Yemen),4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6
100,1,土耳其(Turkey),111,8,5,2,26,3,0,0,2,0,0,0,0,0,22,2,181
100,1,賽普勒斯(Cyprus),2,0,2,4,2,0,0,0,0,0,0,0,0,0,0,0,10
100,1,阿富汗(Afghanistan),7,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,13
100,1,非洲地區(Africa),268,73,38,28,111,77,10,5,22,5,0,0,0,0,48,12,697
100,1,埃及(Egypt),34,0,0,0,6,0,0,0,2,0,0,0,0,0,0,1,43
100,1,摩洛哥(Morocco),3,1,0,0,3,0,1,0,0,1,0,0,0,0,0,0,9
100,1,阿爾及利亞(Algeria),1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
100,1,突尼西亞(Tunisia),4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
100,1,"利比亞(Libya
)",4,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,8
100,1,蘇丹(Sudan),2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
100,1,索馬利亞(Somalia),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,1,南非(S. Africa),146,63,31,25,68,68,0,0,5,1,0,0,0,0,23,7,437
100,1,象牙海岸(Cote D'ivoire),1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
100,1,奈及利亞(Nigeria),17,3,1,0,8,0,4,1,1,0,0,0,0,0,3,1,39
100,1,賴比瑞亞(Liberia),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
100,1,幾內亞(Guinea),0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
100,1,安哥拉(Angola),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,1,剛果共和國(Congo),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
100,1,中非共和國(Central African),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,1,波札那(Botswana),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
