Residence,Region,Sub-Region,Period,Business,Pleasure,Visit Relatives,Conference,Study,Exhibition,Medical Treatment,Others,Unstated
Unstated,,,2011-01,1,2,2,0,0,0,0,14,2474
France,Europe,,2011-01,1003,337,474,22,99,0,0,123,55
Germany,Europe,,2011-01,1835,511,627,46,62,0,0,129,151
Italy,Europe,,2011-01,517,144,137,26,10,0,0,56,43
Netherlands,Europe,,2011-01,531,278,211,11,15,0,0,61,32
Switzerland,Europe,,2011-01,228,114,108,5,4,0,0,19,12
Spain,Europe,,2011-01,160,66,102,6,15,0,0,28,16
United Kingdom,Europe,,2011-01,1512,1219,619,49,22,0,0,160,121
Belgium,Europe,,2011-01,135,61,61,8,7,0,0,16,17
Austria,Europe,,2011-01,170,95,122,2,10,0,0,29,15
Sweden,Europe,,2011-01,283,101,95,11,18,0,0,19,12
Russian Federation,Europe,,2011-01,159,93,85,11,18,0,0,44,24
"Others, Europe",Europe,,2011-01,807,528,301,21,49,0,0,217,153
Australia,Oceania,,2011-01,836,3035,1607,92,35,0,0,237,186
New Zealand,Oceania,,2011-01,168,346,347,15,4,0,0,57,21
"Others, Oceania",Oceania,,2011-01,7,10,20,5,6,0,0,12,10
S. Africa,Africa,,2011-01,209,56,136,0,6,0,0,30,15
Greece,Europe,,2011-01,32,3,9,0,1,0,0,17,5
"Others, America",America,,2011-01,101,107,163,15,146,0,0,69,47
"Others, Africa",Africa,,2011-01,132,10,52,15,21,0,0,30,42
Brazil,America,,2011-01,99,131,125,1,14,0,0,37,16
Argentina,America,,2011-01,11,17,24,1,2,0,0,13,15
HongKong. Macao,Asia,,2011-01,5936,25901,2406,614,116,0,0,5403,2549
Mainland China,Asia,,2011-01,6554,69384,12825,1322,166,0,0,6465,4638
Japan,Asia,,2011-01,23831,68640,4209,543,206,0,0,1373,2391
"Korea,Republic of",Asia,,2011-01,5280,13436,2306,275,311,0,0,1276,1432
Middle East,Asia,,2011-01,609,103,120,9,11,0,0,58,58
Malaysia,Asia,Southeast Asia,2011-01,1931,11076,1890,251,113,0,0,516,285
Singapore,Asia,Southeast Asia,2011-01,3778,8233,1364,242,51,0,0,404,323
India,Asia,,2011-01,1077,78,241,134,21,0,0,228,86
Philippines,Asia,Southeast Asia,2011-01,2405,946,886,81,34,0,0,1878,1765
Thailand,Asia,Southeast Asia,2011-01,1653,877,1452,41,49,0,0,420,1673
"Others, Southeast Asia",Asia,Southeast Asia,2011-01,814,178,1777,19,64,0,0,734,2021
"Others, Asia",Asia,,2011-01,507,131,542,15,43,0,0,317,312
Canada,America,,2011-01,1124,2589,1579,48,35,0,0,197,189
United States of America,America,,2011-01,10633,7087,10932,259,296,0,0,1140,1270
Mexico,America,,2011-01,48,48,20,7,7,0,0,11,3
Indonesia,Asia,Southeast Asia,2011-01,1168,931,728,41,71,0,0,4600,3392
"Others, Southeast Asia",Asia,Southeast Asia,2011-02,1277,646,3350,34,1382,0,0,896,2546
Brazil,America,,2011-02,95,37,59,0,13,0,0,18,16
Mexico,America,,2011-02,45,39,11,0,13,0,0,8,5
United States of America,America,,2011-02,9385,7029,8864,241,440,0,0,1481,918
Canada,America,,2011-02,1195,2522,1228,43,101,0,0,314,160
"Others, Asia",Asia,,2011-02,439,184,443,21,267,0,0,345,318
Thailand,Asia,Southeast Asia,2011-02,2072,1388,1653,51,314,0,0,668,2528
Japan,Asia,,2011-02,23174,74385,4499,529,764,0,0,1638,1981
Indonesia,Asia,Southeast Asia,2011-02,1079,1042,849,46,942,0,0,3206,2042
Singapore,Asia,Southeast Asia,2011-02,2977,9293,1221,184,190,0,0,736,440
Malaysia,Asia,Southeast Asia,2011-02,1991,14833,2387,197,5617,0,0,666,381
Middle East,Asia,,2011-02,558,101,96,14,37,0,0,73,54
India,Asia,,2011-02,999,45,308,60,97,0,0,282,57
"Korea,Republic of",Asia,,2011-02,4372,14118,1813,277,624,0,0,1148,838
Argentina,America,,2011-02,15,7,22,2,2,0,0,5,9
Philippines,Asia,Southeast Asia,2011-02,1490,1314,646,126,155,0,0,1775,1383
"Others, America",America,,2011-02,88,129,108,22,299,0,0,37,16
Austria,Europe,,2011-02,149,185,102,3,15,0,0,15,31
France,Europe,,2011-02,826,448,489,37,243,0,0,179,37
Mainland China,Asia,,2011-02,6052,85178,11243,1345,1623,0,0,6450,3954
Unstated,,,2011-02,3,3,6,0,1,0,0,3,2781
S. Africa,Africa,,2011-02,279,42,155,2,11,0,0,25,10
"Others, Oceania",Oceania,,2011-02,13,5,11,0,10,0,0,7,2
New Zealand,Oceania,,2011-02,190,179,164,10,5,0,0,29,14
Australia,Oceania,,2011-02,949,2497,850,97,48,0,0,223,118
"Others, Europe",Europe,,2011-02,761,582,289,22,202,0,0,256,99
Belgium,Europe,,2011-02,139,47,32,0,12,0,0,19,10
Russian Federation,Europe,,2011-02,211,46,56,12,73,0,0,82,28
Greece,Europe,,2011-02,50,8,7,0,1,0,0,27,4
United Kingdom,Europe,,2011-02,1430,1676,445,41,41,0,0,172,73
Spain,Europe,,2011-02,162,61,46,7,33,0,0,29,12
Switzerland,Europe,,2011-02,284,120,89,6,18,0,0,23,10
Netherlands,Europe,,2011-02,494,238,133,8,38,0,0,64,43
Italy,Europe,,2011-02,514,96,78,17,26,0,0,81,31
Germany,Europe,,2011-02,1869,1242,481,33,119,0,0,143,104
Sweden,Europe,,2011-02,310,101,81,26,40,0,0,25,10
HongKong. Macao,Asia,,2011-02,4722,39948,3165,375,1154,0,0,7775,8442
"Others, Africa",Africa,,2011-02,87,7,35,11,50,0,0,21,20
Unstated,,,2011-03,1,2,8,0,1,0,0,11,3140
Mexico,America,,2011-03,103,57,16,10,12,0,0,31,2
United States of America,America,,2011-03,12587,8875,10616,504,304,0,0,2471,164
Canada,America,,2011-03,1285,2934,1510,105,29,0,0,368,30
"Others, Asia",Asia,,2011-03,465,212,326,46,72,0,0,518,60
"Others, Southeast Asia",Asia,Southeast Asia,2011-03,982,564,2213,86,204,0,0,4953,426
Thailand,Asia,Southeast Asia,2011-03,2186,2704,1018,190,356,0,0,3827,119
Philippines,Asia,Southeast Asia,2011-03,1237,1639,534,245,27,0,0,2841,184
Indonesia,Asia,Southeast Asia,2011-03,1060,3429,677,112,109,0,0,8247,353
Singapore,Asia,Southeast Asia,2011-03,4341,16315,973,405,54,0,0,2291,39
Malaysia,Asia,Southeast Asia,2011-03,2313,23506,1373,355,214,0,0,1581,48
Middle East,Asia,,2011-03,889,100,50,32,14,0,0,200,2
India,Asia,,2011-03,1390,91,180,180,42,0,0,399,25
"Korea,Republic of",Asia,,2011-03,6434,9687,865,385,171,0,0,1887,102
Japan,Asia,,2011-03,24442,80112,4794,780,360,0,0,3713,151
Mainland China,Asia,,2011-03,9531,122200,9639,1487,558,0,0,5200,5034
Brazil,America,,2011-03,258,77,36,23,2,0,0,41,8
Argentina,America,,2011-03,50,14,9,3,3,0,0,22,5
HongKong. Macao,Asia,,2011-03,6908,37678,1996,544,124,0,0,6845,4051
Belgium,Europe,,2011-03,251,127,46,25,7,0,0,49,1
"Others, America",America,,2011-03,212,67,71,30,104,0,0,153,14
S. Africa,Africa,,2011-03,211,56,74,6,5,0,0,30,2
"Others, Oceania",Oceania,,2011-03,18,8,13,7,6,0,0,11,1
New Zealand,Oceania,,2011-03,239,196,220,30,13,0,0,60,3
Australia,Oceania,,2011-03,1513,1829,740,238,30,0,0,482,14
